gene_id,sample_id,mutation_type
Gene_0023,Patient_077,missense
Gene_0023,Patient_113,nonsense
Gene_0023,Patient_182,missense
Gene_0023,Patient_112,missense
Gene_0023,Patient_133,missense
Gene_0023,Patient_141,nonsense
Gene_0023,Patient_041,frameshift
Gene_0023,Patient_149,nonsense
Gene_0023,Patient_084,missense
Gene_0023,Patient_119,missense
Gene_0023,Patient_055,missense
Gene_0023,Patient_083,nonsense
Gene_0023,Patient_053,frameshift
Gene_0023,Patient_069,nonsense
Gene_0023,Patient_160,frameshift
Gene_0023,Patient_172,missense
Gene_0023,Patient_100,missense
Gene_0023,Patient_101,frameshift
Gene_0023,Patient_032,nonsense
Gene_0023,Patient_076,frameshift
Gene_0023,Patient_123,missense
Gene_0023,Patient_059,missense
Gene_0023,Patient_039,frameshift
Gene_0023,Patient_020,nonsense
Gene_0023,Patient_002,missense
Gene_0024,Patient_177,frameshift
Gene_0024,Patient_048,nonsense
Gene_0024,Patient_021,frameshift
Gene_0024,Patient_059,frameshift
Gene_0024,Patient_091,missense
Gene_0024,Patient_085,nonsense
Gene_0024,Patient_040,missense
Gene_0024,Patient_007,nonsense
Gene_0024,Patient_066,frameshift
Gene_0024,Patient_061,nonsense
Gene_0025,Patient_034,nonsense
Gene_0025,Patient_163,nonsense
Gene_0025,Patient_155,frameshift
Gene_0025,Patient_005,frameshift
Gene_0025,Patient_166,nonsense
Gene_0025,Patient_140,missense
Gene_0025,Patient_069,frameshift
Gene_0025,Patient_021,nonsense
Gene_0025,Patient_176,frameshift
Gene_0025,Patient_117,frameshift
Gene_0025,Patient_132,nonsense
Gene_0025,Patient_045,frameshift
Gene_0025,Patient_184,nonsense
Gene_0025,Patient_058,frameshift
Gene_0025,Patient_151,missense
Gene_0025,Patient_052,missense
Gene_0025,Patient_054,frameshift
Gene_0025,Patient_068,nonsense
Gene_0025,Patient_183,frameshift
Gene_0025,Patient_091,missense
Gene_0025,Patient_139,frameshift
Gene_0025,Patient_030,missense
Gene_0025,Patient_197,missense
Gene_0025,Patient_092,frameshift
Gene_0025,Patient_165,nonsense
Gene_0025,Patient_119,frameshift
Gene_0025,Patient_147,frameshift
Gene_0025,Patient_036,nonsense
Gene_0025,Patient_136,nonsense
Gene_0025,Patient_145,nonsense
Gene_0025,Patient_133,nonsense
Gene_0025,Patient_157,nonsense
Gene_0025,Patient_027,frameshift
Gene_0025,Patient_099,missense
Gene_0025,Patient_111,missense
Gene_0025,Patient_110,frameshift
Gene_0025,Patient_128,frameshift
Gene_0025,Patient_193,frameshift
Gene_0025,Patient_038,frameshift
Gene_0025,Patient_142,frameshift
Gene_0026,Patient_082,nonsense
Gene_0026,Patient_065,missense
Gene_0026,Patient_087,missense
Gene_0026,Patient_156,missense
Gene_0026,Patient_199,frameshift
Gene_0026,Patient_141,frameshift
Gene_0026,Patient_099,nonsense
Gene_0026,Patient_006,frameshift
Gene_0026,Patient_075,missense
Gene_0026,Patient_037,missense
Gene_0027,Patient_030,frameshift
Gene_0027,Patient_023,missense
Gene_0027,Patient_103,frameshift
Gene_0027,Patient_095,missense
Gene_0027,Patient_071,nonsense
Gene_0027,Patient_020,frameshift
Gene_0027,Patient_062,frameshift
Gene_0027,Patient_054,frameshift
Gene_0027,Patient_165,nonsense
Gene_0027,Patient_078,frameshift
Gene_0028,Patient_103,missense
Gene_0028,Patient_118,nonsense
Gene_0028,Patient_199,nonsense
Gene_0028,Patient_183,frameshift
Gene_0028,Patient_021,frameshift
Gene_0028,Patient_055,nonsense
Gene_0028,Patient_155,missense
Gene_0028,Patient_110,frameshift
Gene_0028,Patient_187,nonsense
Gene_0028,Patient_172,frameshift
Gene_0029,Patient_133,frameshift
Gene_0029,Patient_164,missense
Gene_0029,Patient_086,frameshift
Gene_0029,Patient_119,frameshift
Gene_0029,Patient_149,missense
Gene_0029,Patient_137,nonsense
Gene_0029,Patient_046,frameshift
Gene_0029,Patient_153,missense
Gene_0029,Patient_017,nonsense
Gene_0029,Patient_158,frameshift
Gene_0030,Patient_178,missense
Gene_0030,Patient_036,missense
Gene_0030,Patient_049,nonsense
Gene_0030,Patient_174,nonsense
Gene_0030,Patient_104,frameshift
Gene_0030,Patient_050,frameshift
Gene_0030,Patient_145,missense
Gene_0030,Patient_152,frameshift
Gene_0030,Patient_021,nonsense
Gene_0030,Patient_020,nonsense
Gene_0031,Patient_044,frameshift
Gene_0031,Patient_089,nonsense
Gene_0031,Patient_053,nonsense
Gene_0031,Patient_113,nonsense
Gene_0031,Patient_030,missense
Gene_0031,Patient_175,nonsense
Gene_0031,Patient_155,missense
Gene_0031,Patient_092,nonsense
Gene_0031,Patient_027,missense
Gene_0031,Patient_083,nonsense
Gene_0032,Patient_053,frameshift
Gene_0032,Patient_015,nonsense
Gene_0032,Patient_133,missense
Gene_0032,Patient_028,missense
Gene_0032,Patient_183,nonsense
Gene_0032,Patient_157,missense
Gene_0032,Patient_198,nonsense
Gene_0032,Patient_135,missense
Gene_0032,Patient_187,nonsense
Gene_0032,Patient_016,frameshift
Gene_0033,Patient_145,missense
Gene_0033,Patient_129,frameshift
Gene_0033,Patient_196,frameshift
Gene_0033,Patient_198,nonsense
Gene_0033,Patient_002,frameshift
Gene_0033,Patient_085,frameshift
Gene_0033,Patient_030,missense
Gene_0033,Patient_111,frameshift
Gene_0033,Patient_031,frameshift
Gene_0033,Patient_098,missense
Gene_0034,Patient_037,nonsense
Gene_0034,Patient_035,nonsense
Gene_0034,Patient_103,missense
Gene_0034,Patient_085,nonsense
Gene_0034,Patient_045,frameshift
Gene_0034,Patient_171,nonsense
Gene_0034,Patient_157,nonsense
Gene_0034,Patient_049,frameshift
Gene_0034,Patient_173,nonsense
Gene_0034,Patient_063,nonsense
Gene_0035,Patient_060,nonsense
Gene_0035,Patient_188,frameshift
Gene_0035,Patient_100,frameshift
Gene_0035,Patient_010,nonsense
Gene_0035,Patient_052,frameshift
Gene_0035,Patient_194,nonsense
Gene_0035,Patient_068,nonsense
Gene_0035,Patient_022,frameshift
Gene_0035,Patient_186,nonsense
Gene_0035,Patient_013,missense
Gene_0036,Patient_189,nonsense
Gene_0036,Patient_100,missense
Gene_0036,Patient_051,nonsense
Gene_0036,Patient_095,nonsense
Gene_0036,Patient_028,nonsense
Gene_0036,Patient_045,missense
Gene_0036,Patient_008,missense
Gene_0036,Patient_168,nonsense
Gene_0036,Patient_052,frameshift
Gene_0036,Patient_047,frameshift
Gene_0037,Patient_089,nonsense
Gene_0037,Patient_063,nonsense
Gene_0037,Patient_144,frameshift
Gene_0037,Patient_092,frameshift
Gene_0037,Patient_014,missense
Gene_0037,Patient_037,missense
Gene_0037,Patient_070,missense
Gene_0037,Patient_139,nonsense
Gene_0037,Patient_059,missense
Gene_0037,Patient_073,missense
Gene_0038,Patient_161,frameshift
Gene_0038,Patient_107,missense
Gene_0038,Patient_180,frameshift
Gene_0038,Patient_109,frameshift
Gene_0038,Patient_169,nonsense
Gene_0038,Patient_172,nonsense
Gene_0038,Patient_095,nonsense
Gene_0038,Patient_152,nonsense
Gene_0038,Patient_145,missense
Gene_0038,Patient_094,missense
Gene_0039,Patient_081,nonsense
Gene_0039,Patient_000,frameshift
Gene_0039,Patient_070,nonsense
Gene_0039,Patient_136,frameshift
Gene_0039,Patient_182,missense
Gene_0039,Patient_033,missense
Gene_0039,Patient_108,nonsense
Gene_0039,Patient_109,frameshift
Gene_0039,Patient_103,nonsense
Gene_0039,Patient_113,frameshift
Gene_0040,Patient_103,frameshift
Gene_0040,Patient_146,frameshift
Gene_0040,Patient_174,frameshift
Gene_0040,Patient_037,missense
Gene_0040,Patient_034,nonsense
Gene_0040,Patient_194,frameshift
Gene_0040,Patient_147,missense
Gene_0040,Patient_056,nonsense
Gene_0040,Patient_029,frameshift
Gene_0040,Patient_069,nonsense
Gene_0041,Patient_091,nonsense
Gene_0041,Patient_155,nonsense
Gene_0041,Patient_130,nonsense
Gene_0041,Patient_108,frameshift
Gene_0041,Patient_107,nonsense
Gene_0041,Patient_115,missense
Gene_0041,Patient_178,missense
Gene_0041,Patient_185,frameshift
Gene_0041,Patient_027,nonsense
Gene_0041,Patient_118,nonsense
Gene_0042,Patient_060,missense
Gene_0042,Patient_079,missense
Gene_0042,Patient_056,frameshift
Gene_0042,Patient_143,nonsense
Gene_0042,Patient_130,missense
Gene_0042,Patient_030,frameshift
Gene_0042,Patient_033,frameshift
Gene_0042,Patient_008,missense
Gene_0042,Patient_070,nonsense
Gene_0042,Patient_080,nonsense
Gene_0042,Patient_057,nonsense
Gene_0042,Patient_093,nonsense
Gene_0042,Patient_145,frameshift
Gene_0042,Patient_011,frameshift
Gene_0042,Patient_044,missense
Gene_0042,Patient_176,frameshift
Gene_0042,Patient_045,missense
Gene_0042,Patient_155,nonsense
Gene_0042,Patient_065,missense
Gene_0042,Patient_192,nonsense
Gene_0042,Patient_117,nonsense
Gene_0042,Patient_036,frameshift
Gene_0042,Patient_051,nonsense
Gene_0042,Patient_102,missense
Gene_0042,Patient_016,missense
Gene_0042,Patient_199,nonsense
Gene_0042,Patient_169,nonsense
Gene_0042,Patient_112,missense
Gene_0042,Patient_127,missense
Gene_0042,Patient_002,missense
Gene_0042,Patient_063,frameshift
Gene_0042,Patient_000,frameshift
Gene_0042,Patient_129,nonsense
Gene_0042,Patient_009,frameshift
Gene_0042,Patient_094,frameshift
Gene_0042,Patient_193,nonsense
Gene_0042,Patient_049,frameshift
Gene_0042,Patient_126,missense
Gene_0042,Patient_004,frameshift
Gene_0042,Patient_006,missense
Gene_0043,Patient_108,missense
Gene_0043,Patient_073,frameshift
Gene_0043,Patient_141,nonsense
Gene_0043,Patient_193,frameshift
Gene_0043,Patient_053,frameshift
Gene_0043,Patient_145,nonsense
Gene_0043,Patient_033,missense
Gene_0043,Patient_194,nonsense
Gene_0043,Patient_098,missense
Gene_0043,Patient_031,frameshift
Gene_0044,Patient_039,frameshift
Gene_0044,Patient_165,frameshift
Gene_0044,Patient_083,nonsense
Gene_0044,Patient_129,missense
Gene_0044,Patient_086,frameshift
Gene_0044,Patient_158,nonsense
Gene_0044,Patient_063,missense
Gene_0044,Patient_127,frameshift
Gene_0044,Patient_054,nonsense
Gene_0044,Patient_192,nonsense
Gene_0044,Patient_149,frameshift
Gene_0044,Patient_132,nonsense
Gene_0044,Patient_017,missense
Gene_0044,Patient_187,frameshift
Gene_0044,Patient_195,nonsense
Gene_0044,Patient_177,nonsense
Gene_0044,Patient_137,frameshift
Gene_0044,Patient_097,nonsense
Gene_0044,Patient_060,frameshift
Gene_0044,Patient_074,frameshift
Gene_0044,Patient_056,frameshift
Gene_0044,Patient_067,missense
Gene_0044,Patient_150,nonsense
Gene_0044,Patient_120,missense
Gene_0044,Patient_135,nonsense
Gene_0044,Patient_046,nonsense
Gene_0044,Patient_121,nonsense
Gene_0044,Patient_159,frameshift
Gene_0044,Patient_130,frameshift
Gene_0044,Patient_141,frameshift
Gene_0044,Patient_151,frameshift
Gene_0044,Patient_008,frameshift
Gene_0044,Patient_139,missense
Gene_0044,Patient_100,frameshift
Gene_0044,Patient_019,missense
Gene_0044,Patient_164,frameshift
Gene_0044,Patient_101,frameshift
Gene_0044,Patient_004,frameshift
Gene_0044,Patient_033,nonsense
Gene_0044,Patient_014,missense
Gene_0045,Patient_109,missense
Gene_0045,Patient_134,nonsense
Gene_0045,Patient_096,nonsense
Gene_0045,Patient_184,missense
Gene_0045,Patient_066,frameshift
Gene_0045,Patient_035,missense
Gene_0045,Patient_190,nonsense
Gene_0045,Patient_077,missense
Gene_0045,Patient_153,nonsense
Gene_0045,Patient_031,nonsense
Gene_0045,Patient_151,nonsense
Gene_0045,Patient_061,nonsense
Gene_0045,Patient_127,nonsense
Gene_0045,Patient_183,missense
Gene_0045,Patient_086,frameshift
Gene_0045,Patient_100,frameshift
Gene_0045,Patient_090,missense
Gene_0045,Patient_146,frameshift
Gene_0045,Patient_006,nonsense
Gene_0045,Patient_089,missense
Gene_0045,Patient_030,missense
Gene_0045,Patient_087,frameshift
Gene_0045,Patient_144,nonsense
Gene_0045,Patient_017,nonsense
Gene_0045,Patient_136,nonsense
Gene_0045,Patient_070,nonsense
Gene_0045,Patient_178,nonsense
Gene_0045,Patient_046,nonsense
Gene_0045,Patient_099,missense
Gene_0045,Patient_011,missense
Gene_0045,Patient_179,missense
Gene_0045,Patient_120,frameshift
Gene_0045,Patient_041,frameshift
Gene_0045,Patient_053,nonsense
Gene_0045,Patient_137,missense
Gene_0045,Patient_128,frameshift
Gene_0045,Patient_004,nonsense
Gene_0045,Patient_091,frameshift
Gene_0045,Patient_143,nonsense
Gene_0045,Patient_154,nonsense
Gene_0046,Patient_167,frameshift
Gene_0046,Patient_136,nonsense
Gene_0046,Patient_023,frameshift
Gene_0046,Patient_194,missense
Gene_0046,Patient_128,frameshift
Gene_0046,Patient_188,frameshift
Gene_0046,Patient_123,missense
Gene_0046,Patient_133,frameshift
Gene_0046,Patient_081,nonsense
Gene_0046,Patient_071,missense
Gene_0047,Patient_119,nonsense
Gene_0047,Patient_137,frameshift
Gene_0047,Patient_036,frameshift
Gene_0047,Patient_001,nonsense
Gene_0047,Patient_193,nonsense
Gene_0047,Patient_182,nonsense
Gene_0047,Patient_039,missense
Gene_0047,Patient_018,nonsense
Gene_0047,Patient_078,nonsense
Gene_0047,Patient_064,missense
Gene_0048,Patient_180,frameshift
Gene_0048,Patient_164,nonsense
Gene_0048,Patient_141,frameshift
Gene_0048,Patient_075,frameshift
Gene_0048,Patient_070,frameshift
Gene_0048,Patient_080,missense
Gene_0048,Patient_169,nonsense
Gene_0048,Patient_043,missense
Gene_0048,Patient_163,nonsense
Gene_0048,Patient_197,nonsense
Gene_0049,Patient_149,missense
Gene_0049,Patient_032,frameshift
Gene_0049,Patient_024,missense
Gene_0049,Patient_066,missense
Gene_0049,Patient_199,frameshift
Gene_0049,Patient_183,frameshift
Gene_0049,Patient_134,nonsense
Gene_0049,Patient_050,nonsense
Gene_0049,Patient_071,nonsense
Gene_0049,Patient_139,missense
Gene_0050,Patient_188,frameshift
Gene_0050,Patient_104,nonsense
Gene_0050,Patient_040,frameshift
Gene_0050,Patient_140,frameshift
Gene_0050,Patient_093,nonsense
Gene_0050,Patient_006,frameshift
Gene_0050,Patient_137,missense
Gene_0050,Patient_034,missense
Gene_0050,Patient_088,missense
Gene_0050,Patient_113,missense
Gene_0051,Patient_161,frameshift
Gene_0051,Patient_030,missense
Gene_0051,Patient_118,nonsense
Gene_0051,Patient_179,missense
Gene_0051,Patient_188,frameshift
Gene_0051,Patient_007,frameshift
Gene_0051,Patient_020,nonsense
Gene_0051,Patient_130,nonsense
Gene_0051,Patient_036,missense
Gene_0051,Patient_037,nonsense
Gene_0052,Patient_184,frameshift
Gene_0052,Patient_062,nonsense
Gene_0052,Patient_043,frameshift
Gene_0052,Patient_061,frameshift
Gene_0052,Patient_174,missense
Gene_0052,Patient_012,nonsense
Gene_0052,Patient_088,missense
Gene_0052,Patient_020,frameshift
Gene_0052,Patient_014,nonsense
Gene_0052,Patient_033,nonsense
Gene_0053,Patient_173,nonsense
Gene_0053,Patient_000,missense
Gene_0053,Patient_038,nonsense
Gene_0053,Patient_156,missense
Gene_0053,Patient_135,nonsense
Gene_0053,Patient_148,nonsense
Gene_0053,Patient_196,missense
Gene_0053,Patient_172,missense
Gene_0053,Patient_054,nonsense
Gene_0053,Patient_185,nonsense
Gene_0054,Patient_021,missense
Gene_0054,Patient_096,missense
Gene_0054,Patient_138,frameshift
Gene_0054,Patient_183,missense
Gene_0054,Patient_070,frameshift
Gene_0054,Patient_152,frameshift
Gene_0054,Patient_157,nonsense
Gene_0054,Patient_043,nonsense
Gene_0054,Patient_130,nonsense
Gene_0054,Patient_031,nonsense
Gene_0055,Patient_170,missense
Gene_0055,Patient_134,nonsense
Gene_0055,Patient_052,nonsense
Gene_0055,Patient_093,missense
Gene_0055,Patient_011,missense
Gene_0055,Patient_100,frameshift
Gene_0055,Patient_003,frameshift
Gene_0055,Patient_056,nonsense
Gene_0055,Patient_118,missense
Gene_0055,Patient_178,nonsense
Gene_0056,Patient_176,missense
Gene_0056,Patient_000,missense
Gene_0056,Patient_145,frameshift
Gene_0056,Patient_088,missense
Gene_0056,Patient_070,frameshift
Gene_0056,Patient_059,frameshift
Gene_0056,Patient_090,nonsense
Gene_0056,Patient_193,missense
Gene_0056,Patient_111,nonsense
Gene_0056,Patient_195,frameshift
Gene_0057,Patient_093,frameshift
Gene_0057,Patient_121,nonsense
Gene_0057,Patient_105,nonsense
Gene_0057,Patient_153,missense
Gene_0057,Patient_195,missense
Gene_0057,Patient_103,frameshift
Gene_0057,Patient_157,missense
Gene_0057,Patient_160,nonsense
Gene_0057,Patient_088,nonsense
Gene_0057,Patient_152,nonsense
Gene_0058,Patient_028,missense
Gene_0058,Patient_144,frameshift
Gene_0058,Patient_153,frameshift
Gene_0058,Patient_107,missense
Gene_0058,Patient_135,missense
Gene_0058,Patient_156,missense
Gene_0058,Patient_196,missense
Gene_0058,Patient_113,missense
Gene_0058,Patient_037,missense
Gene_0058,Patient_031,frameshift
Gene_0059,Patient_174,nonsense
Gene_0059,Patient_190,nonsense
Gene_0059,Patient_083,nonsense
